,Date,Price,Open,High,Low,Vol.,Change %,Crypto,Date_FR,Month,Year
0,2025-03-16,2.3005,2.3882,2.4093,2.2699,375930000.0,-3.79%,XRP,2025-03-16,3,2025
1,2025-03-15,2.3912,2.3553,2.4733,2.3544,413810000.0,1.53%,XRP,2025-03-15,3,2025
2,2025-03-14,2.3551,2.2441,2.3883,2.2385,537830000.0,4.57%,XRP,2025-03-14,3,2025
3,2025-03-13,2.2522,2.2388,2.3448,2.2154,717080000.0,0.58%,XRP,2025-03-13,3,2025
4,2025-03-12,2.2391,2.1724,2.2614,2.1365,740780000.0,3.19%,XRP,2025-03-12,3,2025
5,2025-03-11,2.1699,2.0181,2.2121,1.906,1080000000.0,7.67%,XRP,2025-03-11,3,2025
6,2025-03-10,2.0153,2.1361,2.2553,1.9937,1060000000.0,-5.64%,XRP,2025-03-10,3,2025
7,2025-03-09,2.1358,2.3252,2.3505,2.0855,699580000.0,-8.10%,XRP,2025-03-09,3,2025
8,2025-03-08,2.3239,2.3855,2.408,2.3041,333140000.0,-2.58%,XRP,2025-03-08,3,2025
9,2025-03-07,2.3855,2.603,2.6187,2.3512,1180000000.0,-8.24%,XRP,2025-03-07,3,2025
10,2025-03-06,2.5998,2.5,2.6432,2.4723,716440000.0,3.98%,XRP,2025-03-06,3,2025
11,2025-03-05,2.5002,2.4542,2.5375,2.4115,627190000.0,1.86%,XRP,2025-03-05,3,2025
12,2025-03-04,2.4545,2.37,2.5331,2.216,1490000000.0,2.88%,XRP,2025-03-04,3,2025
13,2025-03-03,2.3857,2.9366,2.9436,2.3028,1780000000.0,-18.76%,XRP,2025-03-03,3,2025
14,2025-03-02,2.9366,2.1902,2.9676,2.1757,1990000000.0,34.09%,XRP,2025-03-02,3,2025
15,2025-03-01,2.1901,2.1399,2.2177,2.1221,379120000.0,2.08%,XRP,2025-03-01,3,2025
16,2025-02-28,2.1455,2.1985,2.1997,1.9554,1180000000.0,-2.41%,XRP,2025-02-28,2,2025
17,2025-02-27,2.1985,2.1978,2.2555,2.1462,596660000.0,0.02%,XRP,2025-02-27,2,2025
18,2025-02-26,2.198,2.3213,2.3291,2.1536,903290000.0,-5.31%,XRP,2025-02-26,2,2025
19,2025-02-25,2.3213,2.276,2.3627,2.067,1730000000.0,2.03%,XRP,2025-02-25,2,2025
20,2025-02-24,2.2752,2.5759,2.6028,2.243,867280000.0,-11.67%,XRP,2025-02-24,2,2025
21,2025-02-23,2.5756,2.5734,2.5981,2.5214,232810000.0,0.06%,XRP,2025-02-23,2,2025
22,2025-02-22,2.5742,2.5716,2.6085,2.5542,234750000.0,0.11%,XRP,2025-02-22,2,2025
23,2025-02-21,2.5714,2.6881,2.7127,2.5091,648970000.0,-4.34%,XRP,2025-02-21,2,2025
24,2025-02-20,2.6881,2.7379,2.7473,2.6681,420100000.0,-1.82%,XRP,2025-02-20,2,2025
25,2025-02-19,2.7379,2.5623,2.745,2.5149,541700000.0,6.87%,XRP,2025-02-19,2,2025
26,2025-02-18,2.562,2.6596,2.668,2.4709,574830000.0,-3.67%,XRP,2025-02-18,2,2025
27,2025-02-17,2.6596,2.7287,2.7632,2.6087,492030000.0,-2.53%,XRP,2025-02-17,2,2025
28,2025-02-16,2.7286,2.7623,2.803,2.6963,329590000.0,-1.22%,XRP,2025-02-16,2,2025
29,2025-02-15,2.7623,2.738,2.8304,2.7161,452740000.0,0.88%,XRP,2025-02-15,2,2025
30,2025-02-14,2.7381,2.5596,2.8285,2.5313,951130000.0,6.99%,XRP,2025-02-14,2,2025
31,2025-02-13,2.5591,2.4736,2.601,2.4173,539110000.0,3.46%,XRP,2025-02-13,2,2025
32,2025-02-12,2.4734,2.4133,2.4944,2.3372,598430000.0,2.49%,XRP,2025-02-12,2,2025
33,2025-02-11,2.4133,2.4235,2.5276,2.3745,585080000.0,-0.42%,XRP,2025-02-11,2,2025
34,2025-02-10,2.4234,2.3939,2.4724,2.3256,510750000.0,1.24%,XRP,2025-02-10,2,2025
35,2025-02-09,2.3939,2.4195,2.5052,2.3131,465910000.0,-1.07%,XRP,2025-02-09,2,2025
36,2025-02-08,2.4197,2.3971,2.4351,2.3527,384300000.0,0.94%,XRP,2025-02-08,2,2025
37,2025-02-07,2.3972,2.3267,2.5353,2.2733,1010000000.0,3.01%,XRP,2025-02-07,2,2025
38,2025-02-06,2.3271,2.3799,2.4672,2.2837,186610000.0,-2.20%,XRP,2025-02-06,2,2025
39,2025-02-05,2.3795,2.5282,2.5673,2.3544,832060000.0,-5.90%,XRP,2025-02-05,2,2025
40,2025-02-04,2.5287,2.7,2.7797,2.4261,1490000000.0,-6.38%,XRP,2025-02-04,2,2025
41,2025-02-03,2.701,2.58,2.7791,1.8739,4219999999.9999995,4.71%,XRP,2025-02-03,2,2025
42,2025-02-02,2.5796,2.8779,2.9552,2.4796,1670000000.0,-10.36%,XRP,2025-02-02,2,2025
43,2025-02-01,2.8778,3.0349,3.0709,2.8298,438890000.0,-5.17%,XRP,2025-02-01,2,2025
44,2025-01-31,3.0349,3.1277,3.1322,3.0034,394920000.0,-2.96%,XRP,2025-01-31,1,2025
45,2025-01-30,3.1274,3.0679,3.1544,3.0496,416340000.0,1.94%,XRP,2025-01-30,1,2025
46,2025-01-29,3.0679,3.0579,3.1299,2.9709,623710000.0,0.29%,XRP,2025-01-29,1,2025
47,2025-01-28,3.0591,3.0548,3.2122,3.0075,837790000.0,0.16%,XRP,2025-01-28,1,2025
48,2025-01-27,3.0541,2.9654,3.0559,2.6962,1480000000.0,-2.07%,XRP,2025-01-27,1,2025
49,2025-01-26,3.1187,3.1078,3.1435,3.1054,252940000.0,0.35%,XRP,2025-01-26,1,2025
50,2025-01-25,3.1078,3.1013,3.1422,3.0791,254440000.0,0.21%,XRP,2025-01-25,1,2025
51,2025-01-24,3.1013,3.1193,3.2033,3.0551,557770000.0,-0.57%,XRP,2025-01-24,1,2025
52,2025-01-23,3.1191,3.1785,3.1814,3.0385,505870000.0,-1.86%,XRP,2025-01-23,1,2025
53,2025-01-22,3.178,3.1738,3.2815,3.1381,494040000.0,0.14%,XRP,2025-01-22,1,2025
54,2025-01-21,3.1735,3.1036,3.2394,3.0149,848240000.0,2.28%,XRP,2025-01-21,1,2025
55,2025-01-20,3.1027,2.9591,3.3614,2.9169,1950000000.0,4.82%,XRP,2025-01-20,1,2025
56,2025-01-19,2.9601,3.1964,3.2341,2.8723,1410000000.0,-9.47%,XRP,2025-01-19,1,2025
57,2025-01-18,3.2698,3.2912,3.2965,3.0656,489880000.0,-0.66%,XRP,2025-01-18,1,2025
58,2025-01-17,3.2914,3.2413,3.3522,3.1794,387260000.0,1.50%,XRP,2025-01-17,1,2025
59,2025-01-16,3.2428,3.1442,3.3954,2.935,2370000000.0,3.17%,XRP,2025-01-16,1,2025
60,2025-01-15,3.1431,2.668,3.1974,2.6511,2270000000.0,17.80%,XRP,2025-01-15,1,2025
61,2025-01-14,2.6682,2.5234,2.6894,2.5135,945350000.0,5.74%,XRP,2025-01-14,1,2025
62,2025-01-13,2.5235,2.5047,2.5618,2.3363,1220000000.0,0.75%,XRP,2025-01-13,1,2025
63,2025-01-12,2.5047,2.5762,2.5801,2.4718,532150000.0,-2.81%,XRP,2025-01-12,1,2025
64,2025-01-11,2.577,2.3412,2.5936,2.3261,848500000.0,10.06%,XRP,2025-01-11,1,2025
65,2025-01-10,2.3413,2.2726,2.368,2.2507,608360000.0,3.00%,XRP,2025-01-10,1,2025
66,2025-01-09,2.2732,2.3737,2.3925,2.2358,705710000.0,-4.24%,XRP,2025-01-09,1,2025
67,2025-01-08,2.3737,2.271,2.3964,2.2049,965190000.0,4.53%,XRP,2025-01-08,1,2025
68,2025-01-07,2.2708,2.42,2.4647,2.2632,918080000.0,-6.16%,XRP,2025-01-07,1,2025
69,2025-01-06,2.4198,2.3991,2.457,2.3745,467910000.0,0.86%,XRP,2025-01-06,1,2025
70,2025-01-05,2.3991,2.4198,2.4272,2.3324,387200000.0,-0.83%,XRP,2025-01-05,1,2025
71,2025-01-04,2.4193,2.455,2.5058,2.4023,436410000.0,-1.46%,XRP,2025-01-04,1,2025
72,2025-01-03,2.455,2.4023,2.4777,2.3967,593420000.0,2.19%,XRP,2025-01-03,1,2025
73,2025-01-02,2.4025,2.3298,2.4475,2.3298,866950000.0,3.12%,XRP,2025-01-02,1,2025
74,2025-01-01,2.3298,2.0828,2.3508,2.0807,805250000.0,11.85%,XRP,2025-01-01,1,2025
75,2024-12-31,2.083,2.0579,2.1473,2.0105,502700000.0,1.22%,XRP,2024-12-31,12,2024
76,2024-12-30,2.0578,2.093,2.1488,2.0001,779070000.0,-1.69%,XRP,2024-12-30,12,2024
77,2024-12-29,2.0932,2.1833,2.1967,2.0734,322420000.0,-4.13%,XRP,2024-12-29,12,2024
78,2024-12-28,2.1833,2.1461,2.2049,2.1341,272040000.0,1.76%,XRP,2024-12-28,12,2024
79,2024-12-27,2.1455,2.1555,2.2357,2.1185,579330000.0,-0.46%,XRP,2024-12-27,12,2024
80,2024-12-26,2.1555,2.2968,2.3143,2.1298,592890000.0,-6.15%,XRP,2024-12-26,12,2024
81,2024-12-25,2.2968,2.323,2.3314,2.2622,335320000.0,-1.12%,XRP,2024-12-25,12,2024
